Feature1,Feature2,Feature3,Feature4,CardType_Elite,CardType_Platinum,CardType_Smart Cash,CardType_True Line,CardType_True Line Gold,score,Month
1.069222,1.0,-692.22,206.77,1,0.0,0.0,0,0,0.8352,1/31/2019
0.40173,1.0,2991.35,44.79,0,0.0,1.0,0,0,0.4423,1/31/2019
0.9631053892215572,1.0,616.1399999999994,283.1,0,1.0,0.0,0,0,0.9341,1/31/2019
0.0,,38900.0,0.0,0,0.0,1.0,0,0,0.002,1/31/2019
0.007498214,1.0,11116.02,0.0,1,0.0,0.0,0,0,0.0335,1/31/2019
0.0,,10000.0,0.0,0,0.0,0.0,0,1,0.1038,1/31/2019
0.1516018181818181,1.0,9332.38,0.0,1,0.0,0.0,0,0,0.182,1/31/2019
0.3506561538461538,,,0.0,0,0.0,1.0,0,0,0.2943,1/31/2019
1.5486,,,31.43,1,0.0,0.0,0,0,0.9414,1/31/2019
0.2646333333333333,,,34.72,0,,,1,0,0.364,1/31/2019
0.0,,,0.0,0,,,0,0,0.2417,1/31/2019
0.9644711111111112,,,171.7,0,,,1,0,0.8069,1/31/2019
-0.3522,,,427.23,1,,,0,0,0.1678,1/31/2019
0.0201442857142857,,,10.81,0,,,0,1,0.175,1/31/2019
0.059115,,,0.0,0,,,0,0,0.0113,1/31/2019
0.0270937777777777,,,0.93,0,,,0,0,0.0001,1/31/2019
0.79090875,,,105.82,0,,,0,0,0.6374,1/31/2019
0.004958678,,,0.0,0,,,0,0,0.0599,1/31/2019
0.0127133333333333,,,0.0,0,,,0,0,0.2013,1/31/2019
0.6004873684210527,,,0.0,0,,,0,0,0.136,1/31/2019
0.016746739,,,6.39,0,,,1,0,0.015,1/31/2019
0.9147130612244898,,,20.2,1,0.0,0.0,0,0,0.1503,1/31/2019
0.914384,,,34.63,0,0.0,1.0,0,0,0.7015,1/31/2019
0.5292668246445498,,,143.62,0,0.0,1.0,0,0,0.3552,1/31/2019
